C0,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,Ax,Ay,Az,Gr,Gp,Fx_norm,Fy_norm,Fz_norm
0.635,0.6225,0.67875,0.61,0.705,0.545,0.85375,0.8375,0.77625,0.7225,0.74125,0.71375,0.4932001110185956,0.5008831024651175,0.577195771200767,0.4996619337387256,0.498454554234174,0.45116052831862846,0.5940882920559462,0.3718462362741233
0.635,0.6225,0.67875,0.61,0.705,0.545,0.85375,0.8375,0.77625,0.7225,0.74125,0.71375,0.4931685716448414,0.5008042540307319,0.5771989251381424,0.4997464503040442,0.4981527093226292,0.45116052831862846,0.5940882920559462,0.3718462362741233
0.63525,0.6225,0.679,0.61,0.705,0.545,0.8532500000000001,0.8375,0.7759999999999999,0.7225,0.741,0.71325,0.4931118007720839,0.5009007645144198,0.5771856786011657,0.49965227470268914,0.4980585337283555,0.45116052831862846,0.5940882920559462,0.3718462362741233
0.6355,0.6225,0.67925,0.61,0.705,0.545,0.85275,0.8375,0.77575,0.7225,0.74075,0.7127500000000001,0.49308152297327984,0.5009159034138219,0.5770872757550526,0.49968125181079837,0.497797739783698,0.45116052831862846,0.5940882920559462,0.3718462362741233
0.63575,0.6225,0.6795,0.61,0.705,0.545,0.85225,0.8375,0.7755,0.7225,0.7404999999999999,0.7122499999999999,0.4929604117780637,0.5008250700174097,0.5770797063053517,0.49947841205403376,0.4974210374066035,0.45116052831862846,0.5940882920559462,0.3718462362741233
0.636,0.6225,0.67975,0.61,0.705,0.545,0.85175,0.8375,0.7752500000000001,0.7225,0.7402500000000001,0.71175,0.4929149950798577,0.5006812504730906,0.5771175535538566,0.499391480729706,0.49730512897416657,0.45116052831862846,0.5940882920559462,0.3718462362741233
0.63625,0.6225,0.68,0.61,0.705,0.545,0.85125,0.8375,0.775,0.7225,0.74,0.71125,0.4927863144349406,0.5006358337748845,0.5770645674059496,0.4992176180810506,0.4974210374349291,0.45116052831862846,0.5940882920559462,0.3718462362741233
0.63625,0.6225,0.68,0.61,0.705,0.545,0.85125,0.8375,0.775,0.7225,0.74,0.71125,0.49287714783135267,0.5004995836802665,0.5770645674059496,0.4991596638648321,0.49730512900249213,0.45116052831862846,0.5940882920559462,0.3718462362741233
0.63625,0.6225,0.68,0.61,0.705,0.545,0.85125,0.8375,0.775,0.7225,0.74,0.71125,0.49294527287866174,0.5005601392778745,0.5770645674059496,0.49892784699995824,0.4972471747296225,0.45116052831862846,0.5940882920559462,0.3718462362741233
0.63625,0.6225,0.68,0.61,0.705,0.545,0.85125,0.8375,0.775,0.7225,0.74,0.71125,0.4930663840738778,0.5006206948754826,0.5771024146544547,0.4990147783242859,0.4974789915944964,0.45116052831862846,0.5940882920559462,0.3718462362741233
